AUTO BOOST/STRIP,1000 BLOCK TURK ST,5/13/2012 12:55 PM
IND EXPOSURE,1100 BLOCK MARKET ST,5/13/2012 12:52 PM
IND EXPOSURE,1100 BLOCK MARKET ST,5/13/2012 12:51 PM
NOISE NUISANCE,POWELL ST & MARKET ST,5/13/2012 12:50 PM
PETTY THEFT,1600 BLOCK VAN NESS AV,5/13/2012 12:04 PM
INTOX PERSON,00 BLOCK OFARRELL ST,5/13/2012 11:41 AM
BURGLARY,800 BLOCK WASHINGTON ST,5/13/2012 10:47 AM
PETTY THEFT,600 BLOCK MARKET ST,5/13/2012 10:21 AM
BURGLARY,3300 BLOCK CLAY ST,5/13/2012 10:19 AM
NOISE NUISANCE,600 BLOCK POLK ST,5/13/2012 10:10 AM
ASSAULT/BATTERY,MARKET ST & 5TH ST,5/13/2012 10:09 AM
INTOX PERSON,2100 BLOCK LOMBARD ST,5/13/2012 10:04 AM
PERSON WITH GUN,200 BLOCK MARKET ST,5/13/2012 09:55 AM
AUTO BOOST/STRIP,1000 BLOCK MISSION ST,5/13/2012 09:29 AM
AUTO BOOST/STRIP,1000 BLOCK MISSION ST,5/13/2012 09:28 AM
NOISE NUISANCE,00 BLOCK MASON ST,5/13/2012 08:52 AM
AUTO BOOST/STRIP,1000 BLOCK MISSION ST,5/13/2012 08:32 AM
PETTY THEFT,1500 BLOCK EDDY ST,5/13/2012 08:21 AM
BURGLARY,300 BLOCK CLAY ST,5/13/2012 08:13 AM
VANDALISM,BATTERY ST & CALIFORNIA ST,5/13/2012 07:59 AM
PETTY THEFT,LARKIN ST & EDDY ST,5/13/2012 07:21 AM
PETTY THEFT,300 BLOCK POWELL ST,5/13/2012 07:18 AM
VANDALISM,200 BLOCK POWELL ST,5/13/2012 07:15 AM
PERSON W/KNIFE,POWELL ST & OFARRELL ST,5/13/2012 07:14 AM
NOISE NUISANCE,2800 BLOCK WEBSTER ST,5/13/2012 06:41 AM
BURGLARY,1000 BLOCK TURK ST,5/13/2012 06:02 AM
NOISE NUISANCE,100 BLOCK JONES ST,5/13/2012 06:00 AM
ASSAULT/BATTERY,OFARRELL ST & POWELL ST,5/13/2012 05:57 AM
ASSAULT/BATTERY,800 BLOCK GEARY ST,5/13/2012 05:21 AM
ASSAULT/BATTERY,BUSH ST & LARKIN ST,5/13/2012 04:46 AM
ASSAULT/BATTERY,1000 BLOCK LEAVENWORTH ST,5/13/2012 04:45 AM
AUTO BOOST/STRIP,3RD ST & HARRISON ST,5/13/2012 04:36 AM
NOISE NUISANCE,1000 BLOCK PINE ST,5/13/2012 04:27 AM
ASSAULT/BATTERY,400 BLOCK GEARY ST,5/13/2012 04:26 AM
NOISE NUISANCE,1000 BLOCK PINE ST,5/13/2012 04:26 AM
SOLICITING PROS,POLK ST & AUSTIN ST,5/13/2012 04:09 AM
